x,y,label,meta
3.845917820453536,6.71999979019165,"3 km ESE of San Ramon, CA",M 1.4
1,1.0900000333786,"11 km WNW of Cobb, CA",M 1.0
15848.93192461111,15,"173 km NNW of The Valley, Anguilla",M 3.8
177827.94100389228,51.62,"48 km ENE of Noda, Japan",M 4.5
1.3645831365889254,1.42999994754791,"11 km WNW of Cobb, CA",M 1.1
1.9952623149688788,3.2501,"11 km WSW of Forsan, Texas",M 1.2
2.3713737056616555,0.850000023841858,"11 km WNW of Cobb, CA",M 1.3
2454.7089156850284,28.87,"113 km NNE of San Juan, Puerto Rico",M 3.3
1.3645831365889254,10.57,"8 km NE of Trabuco Canyon, CA",M 1.1
5.623413251903491,15.68,"20 km NW of Grapevine, CA",M 1.5
31.622776601683793,8.6182,"33 km E of McKinney Acres, Texas",M 2.0
15.84893192461114,4.198,"34 km E of McKinney Acres, Texas",M 1.8
251188.6431509577,10,"244 km SSE of Dunhuang, China",M 4.6
7.943282347242822,7.56,"18 km WSW of Johannesburg, CA",M 1.6
6.918309709189362,3.92000007629395,"7 km S of Boonville, CA",M 1.6
177.8279410038923,53.1,"11 km S of Clam Gulch, Alaska",M 2.5
89125.09381337442,54.904,"247 km ESE of Attu Station, Alaska",M 4.3
1.109174815262401,6.08,"7 km NE of Trabuco Canyon, CA",M 1.0
125892.54117941688,109.673,"32 km ENE of Caucete, Argentina",M 4.4
16.75985835060557,20.9799995422363,"7 km S of Lake Morton-Berrydale, Washington",M 1.8
1.5135612484362087,8.58,"18 km WSW of Johannesburg, CA",M 1.1
707945.7843841389,73.067,"20 km NW of Finschhafen, Papua New Guinea",M 4.9
1,15.72,"2 km NE of Colton, CA",M 1.0
15.84893192461114,112.6,"54 km ESE of Pedro Bay, Alaska",M 1.8
7.4131024130091765,5.12,"5 km SW of Anza, CA",M 1.6
15.84893192461114,0,"16 km WNW of Grandfalls, Texas",M 1.8
44.668359215096345,64.7,"38 km SSE of Chignik, Alaska",M 2.1
47863.0092322638,59,"166 km NNW of The Valley, Anguilla",M 4.1
1.4125375446227546,7.7024,"34 km E of McKinney Acres, Texas",M 1.1
4.1209751909733,9.41,"4 km SSW of Littlerock, CA",M 1.4
1.109174815262401,2.91000008583069,"1 km NW of The Geysers, CA",M 1.0
12.882495516931336,2.5699999332428,"1 km NW of The Geysers, CA",M 1.7
16.40589773199539,26.0100002288818,"24 km WSW of Wainaku, Hawaii",M 1.8
63.095734448019364,7,"34 km WSW of Ivanof Bay, Alaska",M 2.2
1.4125375446227546,6.5672,"9 km S of Midland, Texas",M 1.1
43.1519076827765,2.81,"14 km ENE of Indio, CA",M 2.1
44.668359215096345,5.5,"63 km S of Perryville, Alaska",M 2.1
269.1534803926917,12.710000038147,"54 km W of Kailua-Kona, Hawaii",M 2.6
92.25714271547629,33.99,"33 km NNW of Neah Bay, Washington",M 2.3
1.2735030810166617,2.5,"4 km W of Cobb, CA",M 1.1
1.109174815262401,2,"8 km WNW of Cobb, CA",M 1.0
7.943282347242822,6.5,"3 km S of Salcha, Alaska",M 1.6
117.48975549395291,3.9717,"18 km NNW of Indian Springs, Nevada",M 2.4
25.703957827688647,2.47000002861023,"7 km NW of The Geysers, CA",M 1.9
1.148153621496883,2.72000002861023,"7 km NW of The Geysers, CA",M 1.0
7.161434102129021,2.80999994277954,"7 km NW of The Geysers, CA",M 1.6
63.095734448019364,10.4,"28 km WSW of Ivanof Bay, Alaska",M 2.2
7.943282347242822,14.2,"15 km WSW of Ivanof Bay, Alaska",M 1.6
4.570881896148752,9.27,"18 km NNE of Ocotillo, CA",M 1.4
31.622776601683793,2.1946,"22 km NNW of Toyah, Texas",M 2.0
177827.94100389228,398.987,"200 km N of Lospalos, Timor Leste",M 4.5
354.81338923357606,11.2,"57 km S of Cantwell, Alaska",M 2.7
1.7378008287493747,4.16,"10 km N of Indio, CA",M 1.2
1.9952623149688788,5,"23 km SW of Ivanof Bay, Alaska",M 1.2
74.98942093324558,7.83,"4 km SSW of Brawley, CA",M 2.3
18.83649089489802,9.11,"4 km SSW of Brawley, CA",M 1.9
5.716384641973774,0.920000016689301,"10 km WSW of Packwood, Washington",M 1.5
2.818382931264455,4.1278,"60 km S of Whites City, New Mexico",M 1.3
5.248074602497723,7.23000001907349,"11 km ESE of Willits, CA",M 1.5
29.512092266663842,6.51999998092651,"17 km S of Volcano, Hawaii",M 2.0
5.623413251903491,7.5124,"12 km SSW of Jal, New Mexico",M 1.5
31.622776601683793,9.5,"84 km ENE of Kodiak, Alaska",M 2.0
1.3182567385564075,4.47,"69 km NE of Nikolski, Alaska",M 1.1
15.84893192461114,7.1993,"35 km ESE of Malaga, New Mexico",M 1.8
1.4125375446227546,5,"28 km SW of Ivanof Bay, Alaska",M 1.1
